,Product_Name,Price,Shippment Type,Discount
0,PlayStation PS5 Console,$599.25,Free Shipping,NaN
1,PlayStation 5 Digital Console– God of War™ Ragnarök Bundle,$574.10,Free Shipping,NaN
2,SONY PLAYSTATION 5 DIGITAL EDITION CONSOLE,$529.99,Free Shipping,NaN
3,PS5 Bundle - Includes PS5 Console and an Additional DualSense 5 Controller,$668.55,Free Shipping,NaN
4,PlayStation 5 Digital Console,$539.25,Free Shipping,NaN
5,PlayStation 5 Console - Horizon Forbidden West Bundle,$678.93,Free Shipping,NaN
6,PlayStation®5 Digital Edition – Horizon Forbidden West™ Bundle,$549.99,Free Shipping,NaN
7,PS5 Bundle - Includes PlayStation 5 Console and an Additional Cosmic Red DualSense Controller,$678.95,Free Shipping,NaN
8,PlayStation 5 Disc Bundle + DualSense Wireless Controller + SpiderMan: Miles Morales,$739.95,Free Shipping,NaN
9,Sony PlayStation 5 PS5 Console Disc Blu-Ray US Version,$629.20,Free Shipping,NaN
10,"PlayStation 5 Disc Console  God of War Ragnarok Bundle with Extra Controller, Cefesfy",$718.45,Free Shipping,NaN
11,Sony PlayStation 5 PS5 Console Digital,$549.10,Free Shipping,NaN
12,New PlayStation 5 Console - Call of Duty Modern Warfare II Bundle,$749.99,Free Shipping,NaN
13,PS5 Core with Extra Blue Dualsense Controller and Accessories Kit,$829.99,Free Shipping,NaN
14,PlayStation 5 Console Disc Version With Extra DualSense Wireless Controller,$699.10,Free Shipping,NaN
15,PlayStation 5 Console,$639.90,Free Shipping,NaN
16,"PS5 Bundle: Includes PlayStation 5 Digital Console, Additional Cosmic Red DualSense Controller and PS5 Media Remote",$674.95,Free Shipping,NaN
17,PlayStation 5 Disc Edition Horizon Forbidden West Bundle with Two DualSense Controllers and Mytrix Dual Controller Charger,$799.99,Free Shipping,NaN
18,"YPINGK PS5 Vertical Stand with Cooling Fan and Dual Controller Charger - Indicator Lamps and 15 Game Slots, Fast Cooling through Metal Base, PS5 Console Compatible",$49.99,$4.08 Shipping,NaN
19,"PS5 Bundle - Includes Playstation 5 Digital Console, Additional DualSense Controller and HD Camera for PS5",$699.95,Free Shipping,NaN
20,PS5 Core with Extra Red DualSense Controller and Accessories Kit,$829.99,Free Shipping,NaN
21,PlayStation 5 Digital Edition with Two DualSense Controllers and Mytrix Dual Controller Charger,$614.99,Free Shipping,NaN
22,"Sony PlayStation 5 Digital Edition Console, JAWFOAL HDMI Cable",$554.98,Free Shipping,NaN
23,"SONY Playstation 5 Disc Gaming Console Horizon Forbidden West Bundle, JAWFOAL Accessories",$739.99,Free Shipping,NaN
24,"omarando PS5 Console Carrying Storage  Case ,Compatible PS5 CD-ROM and Digital Edition, Nylon Waterproof Material,Zinc Alloy zipper, Including PS5 Game Controller Protection Case(Black-White)",$45.99,Free Shipping,NaN
25,"PS5 Bundle- Includes PlayStation 5 Digital Console, Additional DualSense Controller, PlayStation Media Remote, and DualSense Charging station",$749.95,Free Shipping,NaN
26,Playstation 5 Digital Console with two DualSense Controllers,$608.94,Free Shipping,NaN
27,PlayStation 5 Console with Miles Morales Game and Accessories,$879.99,Free Shipping,NaN
28,PlayStation 5 Disc Console and PlayStation 5 - DualSense Wireless Controller - Midnight Black,$724.90,Free Shipping,NaN
29,PlayStation 5 Digital Edition Horizon Forbidden West Bundle with Two Controllers White and Nova Pink DualSense and Mytrix Dual Controller Charger,$644.99,Free Shipping,NaN
30,PlayStation 5 Digital Edition God of War Ragnarok Bundle with Two Controllers White and Cosmic Red DualSense and Mytrix Dual Controller Charger,$634.99,Free Shipping,NaN
31,"Newest PlayStation 5 Digital Version Video Game Console God of War Ragnarök Bundle, Up to 120 fps, 4K UHD Blu-ray Player, HDMI, USB, w/Pearlite Tech. High Speed HDMI Cable",$679.99,Free Shipping,NaN
32,PS5 Core with Extra Purple Dualsense Controller and Accessories Kit,$829.99,Free Shipping,NaN
33,PlayStation 5 Disk Console,$499.99,$7.90 Shipping,NaN
34,"PS5 Bundle - Includes PlayStation 5 Digital Console - Additional DualSense Wireless Controller - Pulse 3D Headset, JAWFOAL HDMI Cable",$999.99,Free Shipping,NaN
35,"Gaming Console Bundle - Includes PlayStation 5 Disc Console and 1TB SSD Black Xbox Console Version X, JAWFOAL HDMI Cable","$1,399.99",Free Shipping,NaN
36,"Gaming Console Bundle - Includes PlayStation 5 Digital Console and 1TB SSD Black Xbox Console Version X, JAWFOAL HDMI Cable","$1,299.99",Free Shipping,NaN
37,PlayStation 5 Digital Edition with Two Controllers White and Starlight Blue DualSense and Mytrix Hard Shell Protective Controller Case,$609.99,Free Shipping,NaN
38,"Playstation Console and Playstation VR Bundle - PS5 Disc Version with Wireless Controller, PSVR Headset, Camera, Move Motion Controller, Iron Man Game & Accessories","$1,071.40",Free Shipping,NaN
39,PlayStation 5 Disc Edition God of War Ragnarok Bundle with Elden Ring and Mytrix Controller Charger,$809.99,Free Shipping,NaN
40,PlayStation 5 Digital Edition God of War Ragnarok Bundle with Two DualSense Controllers and Mytrix Hard Shell Protective Controller Case,$624.99,Free Shipping,NaN
41,PlayStation 5 Digital Console  God of War Ragnarok Bundle with Extra Controller + PlayStation 4 Slim 1TB Console,"$1,098.99",Free Shipping,NaN
42,"PlayStation 5 Digital Edition God of War Ragnarok Bundle, an Additional Mytrix Upgraded PS5 Controller with Remappable Back Paddles and Turbo Function, and Hard Shell Protective Controller Case",$679.99,Free Shipping,NaN
43,Sony PlayStation 5 Digital Edition Console with Two DualSense Wireless Controller,$698.99,Free Shipping,NaN
44,"PlayStation 5 Digital Edition Bundle with Additional Mytrix Upgraded PS5 Controller with Remappable Back Paddles and Turbo Function, and Hard Shell Protective Controller Case",$664.99,Free Shipping,NaN
45,"Newest PlayStation 5 Disc Version Video Game Console God of War Ragnarök Bundle, Up to 120 fps, 4K UHD Blu-ray Player, HDMI, USB, w/Pearlite Tech. High Speed HDMI Cable",$759.99,Free Shipping,NaN
46,"Sony PlayStation 5 Console and an Additional DualSense Wireless Controller - Cosmic Red, Bundle with JAWFOAL HDMI Cable",$859.99,Free Shipping,NaN
47,"PS5 PS4 Camera Adapter Cable, Play PS VR on PS5 Playstation 5, Converter Connecting Cable for PS4 PSVR to PS5 Console",$21.99,Free Shipping,NaN
