,Product_Name,Price,Shippment Type,Discount
0,PlayStation 5 Digital Console– God of War™ Ragnarök Bundle,$667.99,Free Shipping,NaN
1,PlayStation PS5 Console,$679.99,Free Shipping,NaN
2,SONY PLAYSTATION 5 DIGITAL EDITION CONSOLE,$639.99,Free Shipping,7%
3,PlayStation 5 Console - Horizon Forbidden West Bundle,$699.98,Free Shipping,NaN
4,PS5 Bundle - Includes PS5 Console and an Additional DualSense 5 Controller,$747.99,Free Shipping,NaN
5,PlayStation 5 Digital Console,$629.99,Free Shipping,NaN
6,PlayStation 5 Disc Bundle + DualSense Wireless Controller + SpiderMan: Miles Morales,$780.00,Free Shipping,5%
7,PS5 Bundle - Includes PlayStation 5 Console and an Additional Cosmic Red DualSense Controller,$729.89,Free Shipping,NaN
8,PlayStation 5 Disc Edition Horizon Forbidden West Bundle with Ozeal charging station,$719.99,Free Shipping,NaN
9,"PS5 Bundle: Includes PlayStation 5 Digital Console, Additional Cosmic Red DualSense Controller and PS5 Media Remote",$758.95,Free Shipping,NaN
10,PlayStation 5 Console Disc Version With Extra DualSense Wireless Controller,$735.00,Free Shipping,NaN
11,"SONY Playstation 5 Disc Gaming Console Horizon Forbidden West Bundle, JAWFOAL Accessories",$766.99,Free Shipping,NaN
12,PlayStation 5 Digital Edition  Horizon Forbidden West Bundle with Ozeal charging station,$712.99,Free Shipping,NaN
13,"SONY Playstation 5 Digital Gaming Console Horizon Forbidden West Bundle, Cefesfy Accessories",$689.99,Free Shipping,NaN
14,Sony PlayStation 5 PS5 Console Disc Blu-Ray Version,$679.94,Free Shipping,NaN
15,Sony PlayStation 5 PS5 Console Digital,$630.00,Free Shipping,NaN
16,PlayStation 5 Console,$684.98,Free Shipping,NaN
17,PS5 Core with Extra Blue Dualsense Controller and Accessories Kit,$829.99,Free Shipping,NaN
18,PS5 Core with Extra Red DualSense Controller and Accessories Kit,$829.99,Free Shipping,NaN
19,"YPINGK PS5 Vertical Stand with Cooling Fan and Dual Controller Charger - Indicator Lamps and 15 Game Slots, Fast Cooling through Metal Base, PS5 Console Compatible",$49.99,$4.08 Shipping,NaN
20,New PlayStation 5 Console - Call of Duty Modern Warfare II Bundle,$770.00,Free Shipping,NaN
21,"PlayStation 5 Disc Console  God of War Ragnarok Bundle with Extra Controller, Cefesfy",$749.90,Free Shipping,NaN
22,Playstation 5 Digital Console with additional DualSense Controller,$649.99,Free Shipping,NaN
23,"Sony PlayStation 5 Digital Edition Console, JAWFOAL HDMI Cable",$649.98,Free Shipping,NaN
24,PlayStation 5 Disc Edition Horizon Forbidden West Bundle with Two DualSense Controllers and Mytrix Dual Controller Charger,$769.99,Free Shipping,7%
25,PS5 Core with Extra Purple Dualsense Controller and Accessories Kit,$829.99,Free Shipping,NaN
26,"omarando PS5 Console Carrying Storage  Case ,Compatible PS5 CD-ROM and Digital Edition, Nylon Waterproof Material,Zinc Alloy zipper, Including PS5 Game Controller Protection Case(Black-White)",$49.99,Free Shipping,NaN
27,"PS5 Bundle- Includes PlayStation 5 Digital Console, Additional DualSense Controller, PlayStation Media Remote, and DualSense Charging station",$838.99,Free Shipping,NaN
28,PlayStation 5 Console with Miles Morales Game and Accessories,$879.99,Free Shipping,NaN
